ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3.057,0.7031,0.0996,-0.6912,-0.5191,-3.2748,0.4427
3.077,0.7024,0.0999,-0.6938,0.0076,-4.3206,1.4427
3.097,0.7026,0.1047,-0.6877,-0.4885,-4.7023,1.1832
3.117,0.707,0.0984,-0.6853,-1.5344,-4.458,0.8244
3.137,0.7075,0.0969,-0.687,-1.7786,-3.5267,1.1756
3.158,0.7068,0.0952,-0.6892,-1.9924,-3.1527,1.229
3.177,0.7017,0.0991,-0.6938,-2.5649,-3.626,0.5496
3.197,0.7046,0.0952,-0.6855,-1.8855,-4.2595,0.3359
3.217,0.7117,0.0962,-0.6792,-0.6947,-4.5038,1.4733
3.237,0.7058,0.1008,-0.6863,-0.3435,-2.9084,0.7099
3.257,0.6973,0.1064,-0.6912,-1.0153,-1.3206,-0.7863
3.277,0.6895,0.1108,-0.6912,-1.1527,-1.6031,-0.6336
3.297,0.6956,0.1042,-0.6946,-1.7252,-4.4198,2.1145
3.317,0.7029,0.1013,-0.6882,-2.7863,-7.2214,2.6641
3.337,0.7131,0.0901,-0.6821,-2.9389,-6.9542,1.9237
3.357,0.7207,0.0903,-0.6975,-1.1374,-4.3588,1.1069
3.377,0.7109,0.0986,-0.6826,0.626,-1.5878,-0.3588
3.397,0.698,0.1084,-0.6904,-0.1145,-1.1908,-0.6336
3.417,0.6946,0.1101,-0.6846,-1.6107,-2.5954,-0.4275
3.437,0.7036,0.105,-0.6926,-2.6489,-4.8244,1.313
3.457,0.7009,0.0996,-0.6931,-2.4046,-4.8626,1.5725
3.477,0.7085,0.0959,-0.6899,-3.2137,-4.084,2.2595
3.497,0.7065,0.0981,-0.6921,-3.084,-2.5649,0.0611
3.517,0.7053,0.0938,-0.6841,-3.6947,-2.5802,0.1603
3.537,0.7021,0.092,-0.6897,-2.0687,-2.2214,-0.6107
3.557,0.6987,0.0969,-0.6892,-1.0382,-3.4198,-0.0458
3.577,0.6958,0.0959,-0.6904,-0.2366,-4.8855,-0.2137
3.597,0.7014,0.1016,-0.6912,-0.313,-6.2061,0.2824
3.617,0.7046,0.1057,-0.6797,0.5725,-5.9008,-0.6794
3.637,0.7075,0.1072,-0.6914,1.0534,-5.6031,0.7405
3.657,0.7119,0.1135,-0.688,0.8321,-4.4656,0.771
3.677,0.7004,0.1179,-0.6826,-1.4427,-2.8092,-0.542
3.697,0.6982,0.1162,-0.6848,-2.0229,-1.9237,-0.4198
3.717,0.7002,0.1155,-0.7014,-3.1756,-3.8702,4.6641
3.737,0.7053,0.1016,-0.6746,-6.3359,-4.4885,2.5344
3.757,0.7156,0.0862,-0.6899,-7.9084,-4.0,0.7634
3.777,0.7126,0.0828,-0.6863,-3.8321,-0.8626,0.2443
3.798,0.697,0.092,-0.6809,0.0382,0.8626,0.2137
3.817,0.6846,0.103,-0.6997,1.1145,-0.3588,-1.2366
3.837,0.6736,0.1162,-0.6816,1.6412,-4.0916,-1.9542
3.857,0.6956,0.1101,-0.7029,-0.1985,-9.5496,4.2748
3.877,0.7168,0.1094,-0.6836,-0.3282,-9.2519,2.9847
3.897,0.7148,0.1003,-0.6812,-2.8855,-6.9695,0.855
3.917,0.7146,0.0935,-0.6624,-0.9389,-3.5191,-4.5878
3.937,0.7048,0.1128,-0.6709,5.0611,-2.8092,-2.2214
3.957,0.7053,0.1294,-0.7031,8.145,-1.8397,3.0916
3.977,0.6919,0.1489,-0.6924,0.3053,-1.626,1.626
3.997,0.6956,0.1265,-0.7036,-11.3664,-1.0458,0.2595
4.017,0.7034,0.0957,-0.6895,-15.7481,-1.6718,3.0611
4.037,0.7112,0.0667,-0.6829,-11.3893,-4.0076,3.3588
4.057,0.7234,0.0579,-0.6963,-5.1374,-7.1603,3.2443
4.077,0.697,0.0779,-0.6265,3.7252,-1.0992,-5.4427
4.097,0.7034,0.095,-0.7285,6.1145,-0.5267,0.4504
4.117,0.6616,0.1362,-0.6851,11.4351,3.3588,-7.8855
4.137,0.6475,0.1558,-0.6943,2.9084,-4.9771,1.2214
4.157,0.6855,0.1343,-0.7158,-2.5267,-12.458,4.3435
4.177,0.7163,0.1096,-0.6592,-7.2443,-17.0153,6.3435
4.197,0.7766,0.0696,-0.7053,-8.3588,-14.5267,8.5344
4.217,0.7593,0.074,-0.6611,-1.8015,-0.3588,-3.1374
4.237,0.7292,0.0991,-0.6887,2.0611,8.4198,-3.0076
4.257,0.6694,0.1335,-0.6995,5.2824,12.9695,-6.9618
4.277,0.6345,0.1475,-0.7002,-0.1679,4.8244,-1.3511
4.297,0.6575,0.1301,-0.7131,-8.3053,-8.6107,5.0305
4.317,0.6958,0.0945,-0.6799,-11.313,-15.771,6.4656
4.337,0.7446,0.0569,-0.6792,-8.6336,-15.4275,8.0916
4.357,0.7534,0.0552,-0.6694,0.4962,-5.687,0.3817
4.377,0.7256,0.0854,-0.6831,6.8931,2.9847,-3.542
4.397,0.6838,0.1243,-0.6936,8.7939,6.2977,-5.8092
4.417,0.6589,0.1467,-0.7021,4.1145,1.458,-3.2519
4.438,0.6689,0.1409,-0.7065,-2.8779,-7.1374,1.9847
4.457,0.6934,0.1221,-0.6809,-6.5191,-11.9008,4.1145
4.477,0.729,0.0947,-0.6929,-7.3206,-12.2366,6.8473
4.497,0.7407,0.0781,-0.6792,-4.2595,-6.5649,2.7176
4.517,0.7393,0.0813,-0.6858,-1.1603,0.145,0.0458
4.537,0.7046,0.1016,-0.6917,1.6794,5.5115,-3.6947
4.557,0.6741,0.1194,-0.6992,0.9542,4.8092,-2.855
4.577,0.665,0.1245,-0.7004,-1.5573,-0.7405,0.1145
4.597,0.6814,0.1169,-0.6943,-4.6031,-7.8855,3.0076
